Family,Species (Latin Name),Inuvialuktun Name(s),English Name,French Name
Ranunculaceae,Ranunculus pygmaeus Wahlenb.,,pygmy buttercup,renoncule naine
Ranunculaceae,Ranunculus sabinei R. Br.,,Sabine’s buttercup,renoncule de Sabine
Rosaceae,Dryas integrifolia Vahl. subsp. integrifolia,uqauyat(I),entire-leaved mountain avens,dryade à feuilles entières
Rosaceae,Potentilla arenosa subsp. arenosa (Turcz.) Juz.,,bluff cinquefoil,potentille des escarpements
Rosaceae,Potentilla arenosa subsp. chamissonis (Hultén) Elven & D.F. Murray,,Chamisso’s cinquefoil,potentille de Chamisso
Rosaceae,Potentilla pedersenii Rydb.,,Pedersen's cinquefoil,potentille de Pedersen
Rosaceae,Potentilla pulchella R. Br.,,pretty cinquefoil,potentille jolie
Rosaceae,Potentilla rubricaulis Lehm.,,red-stemmed cinquefoil,potentille à tiges rouges
Rosaceae,Potentilla subgorodkovii Jurtz.,,Sheenjek River cinquefoil,potentille de Jurtzev
Rosaceae,Potentilla tikhomirovii Jurts.,,Tikhomirov’s cinquefoil,potentille de Tikhomirov
Rosaceae,Potentilla uschakovii Jurtzev,,Ushakov's cinquefoil,potentille d'Ushakov
Rosaceae,Rubus chamaemorus L.,"aqpik (pl. aqplit); (also aqpiik) (I, S, U)",cloudberry,chicouté
Salicaceae,Salix arctica Pallas,"uqpigaluk (I, S); uqpik (pl. uqpiit); uqpipiat (U)",arctic willow,saule arctique
Salicaceae,Salix glauca L.,,grey-leaved willow,saule glauque
Salicaceae,Salix niphoclada Rydb.,,barrenground willow,saule à rameaux blancs
Salicaceae,Salix ovalifolia Trautv.,,oval-leaved willow,saule à feuilles ovées
Salicaceae,Salix polaris Wahlenb.,,polar willow,saule polaire
Salicaceae,Salix pulchra Cham.,,diamond-leaved willow,saule joli
Salicaceae,Salix reticulata L.,,net-veined willow,saule réticulé
Salicaceae,Salix richardsonii Hook.,"uqpik (I, S, U)",Richardson's willow,saule de Richardson
Saxifragaceae,Chrysosplenium tetrandrum (Lund) Th. Fries,,northern golden-saxifrage,dorine à quatre étamines
Saxifragaceae,Micranthes reflexa (Hook.) Small,,Yukon saxifrage,saxifrage réfléchie
Saxifragaceae,Saxifraga cernua L.,,nodding saxifrage,saxifrage penchée
Saxifragaceae,Saxifraga cespitosa L. subsp. cespitosa,,tufted saxifrage,saxifrage cespiteuse
Saxifragaceae,Saxifraga hirculus L.,,yellow marsh saxifrage,saxifrage oeil-de-bouc
Saxifragaceae,Saxifraga oppositifolia L. subsp. oppositifolia,aupilatunguat (I),purple mountain saxifrage,saxifrage à feuilles opposées
Saxifragaceae,Saxifraga tricuspidata Rottb.,kakilangnaq (pl. kakilangnat) (I),Prickly saxifrage,saxifrage à trois dents
